Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Total Percent,score,year,WordPercent,WordLogPercent,LetterPercent,Rep
2022-12-31 00:00:00,560,manly,20380,1899,0,2,17,37,29,12,2,99.0,2.11,2019,0.0003182011,-8.052826985121245,23.3,1.0
2022-12-30 00:00:00,559,molar,21204,1973,0,4,21,38,26,9,1,99.0,2.04,2019,0.0003044151,-8.097118327425203,28.1,1.0
2022-12-29 00:00:00,558,havoc,20001,1919,0,2,16,38,30,12,2,100.0,2.1399999999999997,2019,0.0002385904,-8.340762283812326,25.580000000000002,1.0
2022-12-28 00:00:00,557,impel,20160,1937,0,3,21,40,25,9,1,99.0,2.045,2019,2.7892e-05,-10.48717064860551,28.0,1.0
2022-12-27 00:00:00,556,condo,20879,2012,0,2,17,35,29,14,3,100.0,2.1350000000000002,2019,0.000190312,-8.566845727321308,28.8,1.5
2022-12-26 00:00:00,555,judge,20011,2043,0,2,8,16,26,33,14,99.0,2.17,2019,0.005201321,-5.258842647195523,21.95,1.0
2022-12-25 00:00:00,554,extra,15554,1562,1,5,20,35,28,10,1,100.0,2.06,2019,0.0038574018,-5.5577614309531285,36.15,1.0
2022-12-24 00:00:00,553,poise,20281,1911,2,11,34,32,15,6,1,101.0,1.8299999999999998,2019,0.0001112378,-9.10384030585269,35.4,1.0
2022-12-23 00:00:00,552,aorta,21937,2112,0,7,26,35,20,10,3,101.0,1.9749999999999999,2019,0.0002697789,-8.217907823327451,39.0,1.5
2022-12-22 00:00:00,551,excel,20490,2034,0,1,13,34,34,15,2,99.0,2.195,2019,0.0005808581,-7.451004065021536,32.349999999999994,1.5
2022-12-21 00:00:00,550,lunar,22180,2036,0,5,32,40,17,4,0,98.0,1.875,2019,0.0003380597,-7.992288050859071,27.7,1.0
2022-12-20 00:00:00,549,third,24137,2261,1,10,47,32,9,2,0,101.0,1.735,2019,0.0150865301,-4.193952979628999,32.5,1.0
2022-12-19 00:00:00,548,slate,26010,2422,6,14,33,27,13,5,1,99.0,1.6849999999999998,2018,0.0003551452,-7.942983838027811,40.3,1.0
2022-12-18 00:00:00,547,taper,22166,2108,0,8,28,30,20,11,3,100.0,1.9449999999999998,2018,0.0001399137,-8.874484753996605,37.89999999999999,1.0
2022-12-17 00:00:00,546,chord,22336,2088,0,7,39,38,13,3,0,100.0,1.83,2018,0.0003775193,-7.881888864754261,26.7,1.0
2022-12-16 00:00:00,545,probe,22853,2160,0,6,24,32,24,11,3,100.0,2.005,2018,0.0008508269,-7.069301857836645,29.599999999999998,1.0
