Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Total Percent,score,year,WordPercent,WordLogPercent,LetterPercent,Rep,VowelCount,avgscore
2022-12-31 00:00:00,560,manly,20380.0,1899.0,0.0,2.0,17.0,37.0,29.0,12.0,2.0,99.0,2.11,2019,0.0003182011,-8.052826985121245,23.3,1,1,4.383838383838384
2022-12-30 00:00:00,559,molar,21204.0,1973.0,0.0,4.0,21.0,38.0,26.0,9.0,1.0,99.0,2.04,2019,0.0003044151,-8.097118327425203,28.1,1,2,4.181818181818182
2022-12-29 00:00:00,558,havoc,20001.0,1919.0,0.0,2.0,16.0,38.0,30.0,12.0,2.0,100.0,2.1399999999999997,2019,0.0002385904,-8.340762283812326,25.580000000000002,1,2,4.4
2022-12-28 00:00:00,557,impel,20160.0,1937.0,0.0,3.0,21.0,40.0,25.0,9.0,1.0,99.0,2.045,2019,2.7892e-05,-10.48717064860551,28.0,1,2,4.191919191919192
2022-12-27 00:00:00,556,condo,20879.0,2012.0,0.0,2.0,17.0,35.0,29.0,14.0,3.0,100.0,2.1350000000000002,2019,0.000190312,-8.566845727321308,28.8,2,2,4.45
2022-12-26 00:00:00,555,judge,20011.0,2043.0,0.0,2.0,8.0,16.0,26.0,33.0,14.0,99.0,2.17,2019,0.005201321,-5.258842647195523,21.95,1,2,5.232323232323233
2022-12-25 00:00:00,554,extra,15554.0,1562.0,1.0,5.0,20.0,35.0,28.0,10.0,1.0,100.0,2.06,2019,0.0038574018,-5.5577614309531285,36.15,1,2,4.18
2022-12-24 00:00:00,553,poise,20281.0,1911.0,2.0,11.0,34.0,32.0,15.0,6.0,1.0,101.0,1.8299999999999998,2019,0.0001112378,-9.10384030585269,35.4,1,3,3.6831683168316833
2022-12-23 00:00:00,552,aorta,21937.0,2112.0,0.0,7.0,26.0,35.0,20.0,10.0,3.0,101.0,1.9749999999999999,2019,0.0002697789,-8.217907823327451,39.0,2,3,4.089108910891089
2022-12-22 00:00:00,551,excel,20490.0,2034.0,0.0,1.0,13.0,34.0,34.0,15.0,2.0,99.0,2.195,2019,0.0005808581,-7.451004065021536,32.349999999999994,2,2,4.555555555555555
